商品名,えび,かに,小麦,そば,卵,乳,落花生,くるみ,アーモンド,あわび,いか,いくら,オレンジ,カシューナッツ,キウイフルーツ,牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン,魚介類,熱量(kcal),たんぱく質(g),脂質(g),炭水化物(g),糖質(g),糖質(g),食塩相当量(g),食物繊維(g)
ハラペーニョポッパー,▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,564,34.7,39.0,29.0,27.6,27.6,1.4,4.0
ハラペーニョポッパーチキン,▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,687,31.3,37.3,38.5,37.2,37.2,1.3,3.8
ケイジャンチキンバーガー,▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,658,27.2,35.3,40.1,37.7,37.7,2.4,3.2
ワイルド☆ロック,×,×,○,×,×,×,×,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,870,58.0,77.5,4.8,3.4,3.4,1.4,4.4
ウェンディーズバーガー-USA,▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,578,32.5,40.9,29.7,28.0,28.0,1.7,3.5
ウェンディーズバーガー-USA(ダブル),▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,925,60.4,70.8,31.4,29.1,29.1,2.3,5.3
ウェンディーズバーガー-USA(トリプル),▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,1271,88.3,100.8,32.6,29.8,29.8,2.8,7.2
ベーコンネーター-USA,▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,666,36.3,49.3,28.4,27.1,27.1,1.3,3.8
ベーコンネーター-USA(ダブル),▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,1019,63.2,80.1,29.6,27.8,27.8,1.8,5.6
ウェンディーズチーズコーンエッグバーガー,▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,613,37.9,42.3,29.3,27.9,27.9,1.4,3.8
ウェンディーズチーズコーンエッグバーガー(ダブル),▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,658,40.5,46.0,29.6,28.2,28.2,1.4,4.2
てりやきバーガー,×,×,○,×,○,○,×,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,298,12.8,15.5,27.0,25.8,25.8,1.2,2.2
ハンバーガー,×,×,○,×,○,○,×,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,343,15.4,19.2,27.2,26.0,26.0,1.2,2.5
チーズバーガー,▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,733,30.1,42.3,39.0,37.4,37.4,1.6,3.5
チキンクラブサンド,▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,733,30.1,42.3,39.0,37.4,37.4,1.6,3.5
てりやきチキンバーガー,▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,614,26.3,35.9,44.0,42.4,42.4,1.8,3.2
チキンフィレバーガー-USA,▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,647,26.3,35.5,37.0,35.6,35.6,1.4,3.4
スパイシーチキンフィレバーガー-USA,▲,×,○,×,○,○,▲,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,870,38.5,48.8,30.0,28.5,28.5,1.5,4.8
クリスピーチキンバーガー,×,×,○,×,○,○,×,×,×,×,×,×,▲,×,×,○,△,×,×,○,▲,×,○,×,▲,×,▲,▲,×,554,22.5,32
