,えび,かに,小麦,そば,卵,乳,落花生,くるみ,"アーモンド",あわび,いか,いくら,オレンジ,"カシューナッツ","キウイフルーツ",牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン,魚介類,熱量(kcal),たんぱく質(g),脂質(g),炭水化物(g),"糖質(g)","食物繊維(g)",食塩相当量(g)
バーガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ハラペーニョポッパー,▲,,○,,○,○,▲,,,,,,▲,,,○,△,,,○,▲,,○,,▲,,▲,▲,,564,34.7,39.0,29.0,27.6,1.4,4.0
ハラペーニョポッパーチキン,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,○,,○,,▲,,▲,▲,,687,31.3,37.3,38.5,37.2,1.3,3.8
ケイジャンチキンバーガー,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,○,,▲,,▲,,○,○,,658,27.2,35.3,40.1,37.7,2.4,3.2
ワイルド☆ロック,▲,,△,,○,○,▲,,,,,,▲,,,○,▲,,,○,▲,,○,,▲,,▲,▲,,870,58.0,77.5,4.8,3.4,1.4,4.4
ウェンディーズバーガーUSA,▲,,○,,○,○,▲,,,,,,▲,,,○,△,,,○,▲,,▲,,▲,,▲,▲,,578,32.5,40.9,29.7,28.0,1.7,3.5
ウェンディーズバーガーUSA  （ダブル）,▲,,○,,○,○,▲,,,,,,▲,,,○,△,,,○,▲,,▲,,▲,,▲,▲,,925,60.4,70.8,31.4,29.1,2.3,5.3
ウェンディーズバーガーUSA  （トリプル）,▲,,○,,○,○,▲,,,,,,▲,,,○,△,,,○,▲,,▲,,▲,,▲,▲,,"1,271",88.3,100.8,32.6,29.8,2.8,7.2
ベーコネーターUSA,▲,,○,,○,○,▲,,,,,,▲,,,○,△,,,○,▲,,○,,▲,,▲,▲,,666,36.3,49.3,28.4,27.1,1.3,3.8
ベーコネーターUSA  （ダブル）,▲,,○,,○,○,▲,,,,,,▲,,,○,△,,,○,▲,,○,,▲,,▲,▲,,"1,019",63.2,80.1,29.6,27.8,1.8,5.6
ウェンディーズベーコンエッグバーガー,▲,,○,,○,○,▲,,,,,,▲,,,○,△,,,○,▲,,○,,▲,,○,▲,,613,37.9,42.3,29.3,27.9,1.4,3.8
ウェンディーズチーズベーコンエッグバーガー,▲,,○,,○,○,▲,,,,,,▲,,,○,△,,,○,▲,,○,,▲,,○,▲,,658,40.5,46.0,29.6,28.2,1.4,4.2
てりやきバーガー,▲,,○,,○,○,▲,,,,,,▲,,,○,△,,,○,▲,,▲,,▲,,▲,▲,,537,29.8,37.4,30.1,28.7,1.4,3.2
ハンバーガー★,▲,,○,,△,○,▲,,,,,,▲,,,○,△,,,○,▲,,▲,,▲,,▲,▲,,298,12.8,15.5,27.0,25.8,1.2,2.2
チーズバーガー  ★,▲,,○,,△,○,▲,,,,,,▲,,,○,△,,,○,▲,,▲,,▲,,▲,▲,,343,15.4,19.2,27.2,26.0,1.2,2.5
チキンクラブサンド,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,○,,○,,▲,,▲,▲,,733,30.1,42.3,39.0,37.4,1.6,3.2
てりやきチキンバーガー,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,○,,▲,,▲,,▲,▲,,659,26.4,35.7,39.4,38.1,1.3,3.0
チキンフィレバーガーUSA,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,○,,▲,,▲,,▲,▲,,647,26.3,35.5,37.0,35.6,1.4,2.5
スパイシーチキンフィレバーガーUSA,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,○,,▲,,▲,,▲,▲,,614,26.3,35.9,44.0,42.4,1.6,3.2
クリスピーチキンバーガー,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,○,,▲,,▲,,▲,▲,,539,22.4,32.3,37.7,35.8,1.9,2.2
てりやきクリスピーチキンバーガー,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,○,,▲,,▲,,▲,▲,,554,22.5,32.5,40.8,38.9,1.9,2.8
Jr.チーズバーガーデラックス,▲,,○,,○,○,▲,,,,,,▲,,,○,△,,,○,▲,,▲,,▲,,▲,▲,,419,15.7,27.0,28.2,26.7,1.5,2.8
Jr.ベーコンエッグバーガー,▲,,○,,○,○,▲,,,,,,▲,,,○,△,,,○,▲,,○,,▲,,○,▲,,455,21.1,28.4,27.9,26.7,1.2,2.7
Jr.チーズベーコンエッグバーガー,▲,,○,,○,○,▲,,,,,,▲,,,○,△,,,○,▲,,○,,▲,,○,▲,,501,23.7,32.1,28.1,26.9,1.2,3.1
Jr.てりやきバーガー,▲,,○,,○,○,▲,,,,,,▲,,,○,△,,,○,▲,,▲,,▲,,▲,▲,,379,13.1,23.5,28.7,27.4,1.3,2.6
ローストビーフバーガー★,▲,,○,,△,○,▲,△,△,,,,△,,△,○,△,△,,○,△,△,○,,△,,△,△,,673,48.0,37.7,45.7,43.1,2.6,7.0
パスタ  ★,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
懐かしのナポリタン,▲,,○,,○,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,○,,▲,,▲,▲,,529,15.5,14.6,85.8,81.3,4.5,2.6
懐かしのミートソース,▲,,○,,○,○,▲,,,,,,▲,,,○,▲,,,○,○,,○,,▲,,▲,▲,,534,18.1,17.9,77.1,72.8,4.3,2.9
海老とアボカドのジェノベーゼ,○,,○,,○,○,○,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,579,18.4,24.3,73.4,68.7,4.7,3.1
カルボナーラ,▲,,○,,○,○,▲,,,,,,▲,,,▲,▲,,,○,○,,○,,▲,,▲,▲,,546,17.8,20.4,73.7,70.7,3.0,2.6
とろーりモッツァレラとベーコンのトマトソース,△,△,○,,○,○,▲,△,,,△,,△,△,,△,△,△,,○,○,△,○,,▲,,△,○,△,662,26.7,24.9,80.2,73.4,6.8,4.2
熟成博多明太子,▲,,○,,○,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,469,14.9,13.8,73.2,69.8,3.4,3.9
モーニング限定  ★,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B・E・L・T  （ベーコンエッグレタストマト）,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,▲,,○,,▲,,▲,▲,,414,14.6,26.7,27.3,26.3,1.0,2.5
